date,expiry,T,heston_v0,heston_kappa,heston_theta,heston_sigma_v,heston_rho,heston_rmse,sabr_rmse,js_rmse
2024-09-06,2024-11-08,0.1725,0.4088,0.9998,0.1008,0.3002,0.3002,0.00639,0.004125,0.00412
2024-09-06,2024-11-29,0.23,0.4704,1.5322,0.6515,2.6028,-0.2458,0.003256,0.005047,0.002957
2024-09-06,2024-10-25,0.1342,0.3683,2.9966,0.1177,0.0001,-0.1651,0.010046,0.006421,0.004638
2024-09-06,2024-09-20,0.0383,0.4531,7.9602,0.0345,4.6586,-0.2944,0.01113,0.010848,0.01088
2024-09-06,2024-09-27,0.0575,0.4443,7.9203,0.1255,4.0174,-0.2472,0.011645,0.012223,0.011964
2024-09-06,2024-09-13,0.0192,0.427,2.9602,0.0001,5.0,-0.2726,0.040471,0.028822,0.028693
2024-09-13,2024-11-29,0.2108,0.3992,0.9996,0.0994,1.0062,0.0201,0.003436,0.003583,0.003578
2024-09-13,2024-11-08,0.1533,0.4044,2.999,0.0963,0.3864,0.3708,0.002883,0.002244,0.001493
2024-09-13,2024-10-25,0.115,0.4118,7.9618,0.1349,3.1316,-0.0847,0.002704,0.002545,0.002488
2024-09-13,2024-12-27,0.2875,0.7999,7.9992,0.0952,1.011,0.0777,0.00346,0.002886,0.00172
2024-09-13,2024-09-27,0.0383,0.1464,7.9689,1.1918,5.0,-0.1749,0.008315,0.005672,0.004236
2024-09-13,2024-10-04,0.0575,0.0126,7.8913,1.3968,4.6511,-0.0813,0.00365,0.003548,0.003107
2024-09-20,2024-10-04,0.0383,0.0949,8.0169,1.3527,5.0,-0.0914,0.012624,0.011256,0.010759
2024-09-20,2024-10-11,0.0575,0.3341,7.9751,0.0105,3.2011,-0.026,0.005855,0.005589,0.005589
2024-09-20,2024-10-25,0.0958,0.3578,7.9625,0.1156,2.3488,-0.0524,0.004334,0.004479,0.004479
